merchant_name,category,rating,review,date,sentiment
grocery 89,grocery,3,"makanan dan minumannya sangat baik, dimohon untuk makanan dan minumannya ditingkatkan lagi.",2023-08-22,positive
grocery 356,grocery,3, pelayanan baik.,2023-02-02,positive
grocery 397,grocery,5,Saya mengalami pengalaman sangat baik secara keseluruhan.,2023-01-03,positive
grocery 455,grocery,2,"pelayanannya buruk, dimohon untuk pelayanannya ditingkatkan lagi.",2023-02-28,negative
grocery 944,grocery,5, pelayanan baik.,2023-12-31,positive
grocery 427,grocery,2,"barangnya sangat buruk, dimohon untuk barangnya ditingkatkan lagi.",2023-10-22,negative
grocery 51,grocery,5,"suasananya buruk, dimohon untuk suasananya ditingkatkan lagi.",2023-04-05,negative
grocery 514,grocery,1,"pelayanannya buruk, dimohon untuk pelayanannya ditingkatkan lagi.",2023-07-28,negative
grocery 325,grocery,4,Saya mengalami pengalaman sangat buruk secara keseluruhan.,2023-04-24,negative
grocery 164,grocery,4,"pelayanannya buruk, dimohon untuk pelayanannya ditingkatkan lagi.",2023-07-26,negative
grocery 640,grocery,4, barang sangat buruk.,2023-07-08,negative
grocery 261,grocery,4, suasana buruk.,2023-08-10,negative
grocery 399,grocery,5,Saya mengalami pengalaman sangat baik secara keseluruhan.,2023-02-07,positive
grocery 488,grocery,2,Saya mengalami pengalaman sangat baik secara keseluruhan.,2023-10-01,positive
grocery 497,grocery,2,Saya mengalami pengalaman buruk secara keseluruhan.,2023-07-12,negative
grocery 300,grocery,4, barang sangat baik.,2023-10-22,positive
grocery 115,grocery,1, pelayanan sangat buruk.,2023-07-18,negative
grocery 845,grocery,2, barang sangat buruk.,2023-07-19,negative
grocery 365,grocery,4,"pelayanannya sangat buruk, dimohon untuk pelayanannya ditingkatkan lagi.",2023-10-24,negative
grocery 90,grocery,2, barang buruk.,2023-07-09,negative
grocery 707,grocery,2,"makanan dan minumannya baik, dimohon untuk makanan dan minumannya ditingkatkan lagi.",2023-09-10,positive
grocery 546,grocery,2,"makanan dan minumannya buruk, dimohon untuk makanan dan minumannya ditingkatkan lagi.",2023-10-20,negative
grocery 800,grocery,3, barang buruk.,2023-10-11,negative
grocery 470,grocery,3, suasana baik.,2023-08-17,positive
grocery 687,grocery,1,"makanan dan minumannya baik, dimohon untuk makanan dan minumannya ditingkatkan lagi.",2023-11-16,positive
grocery 950,grocery,4,"suasananya buruk, dimohon untuk suasananya ditingkatkan lagi.",2023-09-16,negative
grocery 904,grocery,2,"suasananya baik, dimohon untuk suasananya ditingkatkan lagi.",2023-06-08,positive
grocery 592,grocery,3,"makanan dan minumannya baik, dimohon untuk makanan dan minumannya ditingkatkan lagi.",2023-12-15,positive
grocery 381,grocery,1,Saya mengalami pengalaman buruk secara keseluruhan.,2023-06-29,negative
grocery 915,grocery,4,Saya mengalami pengalaman buruk secara keseluruhan.,2023-03-19,negative
grocery 579,grocery,2,Saya mengalami pengalaman sangat buruk secara keseluruhan.,2023-03-06,negative
grocery 489,grocery,3, pelayanan sangat baik.,2023-08-13,positive
grocery 152,grocery,1,"makanan dan minumannya baik, dimohon untuk makanan dan minumannya ditingkatkan lagi.",2023-09-27,positive
grocery 75,grocery,3,"pelayanannya sangat baik, dimohon untuk pelayanannya ditingkatkan lagi.",2023-09-22,positive
